METRIC,DESCRIPTION,VALUE,UNIT,SOURCE,NOTES
SECTION 1: GOOGLE ADS CHANNEL ANALYSIS
Campaign 1 - Agency Reporting Search,Campaign Name,Agency Reporting Search,-,Actual,21-day campaign
Campaign 1 - Total Spend,"Spend (USD)",1250.00,USD,Actual,Campaign 1 spend
Campaign 1 - Impressions,"Impressions",18500,Count,Actual,Campaign 1 impressions
Campaign 1 - Clicks,"Clicks",487,Count,Actual,Campaign 1 clicks
Campaign 1 - Conversions,"Trial Signups",23,Count,Actual,Campaign 1 conversions
Campaign 1 - CTR,"Click-Through Rate",2.63,%,Calculated,487 ÷ 18500
Campaign 1 - Conversion Rate,"Conversion Rate (Click-to-Trial)",4.73,%,Calculated,23 ÷ 487
Campaign 1 - CAC,"Cost Per Acquisition (Trial)",54.35,USD,Calculated,1250 ÷ 23
Campaign 2 - Agency Reporting Brand,Campaign Name,Agency Reporting Brand,-,Actual,17-day campaign
Campaign 2 - Total Spend,"Spend (USD)",800.00,USD,Actual,Campaign 2 spend
Campaign 2 - Impressions,"Impressions",12400,Count,Actual,Campaign 2 impressions
Campaign 2 - Clicks,"Clicks",298,Count,Actual,Campaign 2 clicks
Campaign 2 - Conversions,"Trial Signups",15,Count,Actual,Campaign 2 conversions
Campaign 2 - CTR,"Click-Through Rate",2.40,%,Calculated,298 ÷ 12400
Campaign 2 - Conversion Rate,"Conversion Rate (Click-to-Trial)",5.03,%,Calculated,15 ÷ 298
Campaign 2 - CAC,"Cost Per Acquisition (Trial)",53.33,USD,Calculated,800 ÷ 15
Google Ads - Total Spend,"Total Spend (USD)",2050.00,USD,Calculated,Sum of all campaigns
Google Ads - Total Impressions,"Total Impressions",30900,Count,Calculated,Sum of all impressions
Google Ads - Total Clicks,"Total Clicks",785,Count,Calculated,Sum of all clicks
Google Ads - Total Conversions,"Total Trial Signups",38,Count,Calculated,Sum of all conversions
Google Ads - CTR,"Blended Click-Through Rate",2.54,%,Calculated,785 ÷ 30900
Google Ads - Conversion Rate,"Blended Conversion Rate (Click-to-Trial)",4.84,%,Calculated,38 ÷ 785
